Not Seasonally Adjusted,,,,,,,,,,
,,,,,,,,,,
Exhibit 3.  U.S. Imports For Consumption of Steel Products From Selected Countries and Areas,,,,,,,,,,
,,,,,,,,,,
Quantity in metric tons/value in thousands of dollars.  (-) Represents zero or less than one half of measurement shown.  Details may not equal totals due to rounding.,,,,,,,,,,
,,,,,,,,,,
,2018,,,,,,2017,,,
,,,,,,,,,,
,October,,September,,September,,October,,September,
,Preliminary,,Preliminary,,Final,,Final,,Final,
Countries and ,,, ,,,,,,,
Areas,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
,,,,,,,,,,
,,,,,,,,,,
Total Census Basis,2961293,2666692,2040580,2041162,2051885,2054055,2856041,2564700,2799753,2453454
North America,739346,673946,637423,611864,638543,613821,743537,665119,729999,639544
Canada,409300,403874,380465,380754,380484,380790,482878,454037,435284,414721
Mexico,330046,270073,256958,231110,258059,233032,260659,211081,294716,224823
Europe,682053,738322,673569,681575,675161,682885,820708,794907,804507,750333
European Union,427571,541635,390937,487953,392240,488745,435696,563048,455216,536615
Austria,25793,38920,25552,35841,25621,35954,17302,30929,25836,41803
Belgium,14140,20326,14137,30049,14137,30049,13123,19375,10564,13255
Czech Republic,5404,6998,11054,9364,11072,9388,6406,12005,6363,10700
Finland,3160,5955,5181,6731,5209,6789,9876,13018,7416,10569
France,21235,33749,11382,20900,11384,20903,29821,46574,15850,23859
Germany,102667,138627,105806,128780,105816,128835,152799,187036,145359,186514
Italy,48853,62089,26575,39547,26622,39603,41845,59467,61990,65914
Netherlands,71160,60739,52689,48987,52693,48991,44745,37036,61143,51114
Poland,815,1197,285,684,323,744,553,695,639,836
Spain,20770,24923,20788,21327,20788,21327,20680,25491,45211,32117
Sweden,14548,34462,18483,31279,18483,31279,26892,43896,19336,29237
United Kingdom,21212,32690,17751,29007,18822,29339,26933,35705,22850,33422
Other EU,77814,80959,81254,85457,81271,85544,44721,51821,32660,37275
Norway,(-),60,(-),4,(-),4,1238,2043,387,646
Russia,159416,105449,145996,89746,145996,89746,247082,129948,233415,123147
Switzerland,1559,4907,1513,3883,1523,4135,1773,4487,1085,3641
Turkey,61472,52669,120670,86047,120948,86313,101863,65947,106035,76657
Ukraine,26971,28562,2384,5203,2384,5203,20369,16942,7374,8704
Other Europe,5063,5040,12070,8739,12070,8739,12686,12492,994,923
Euro Area,347280,432599,292641,363750,292800,364049,358825,450147,396011,447539
Pacific Rim Countries,441532,486816,417390,471167,418794,473571,662335,657377,691501,667787
Australia,28739,28244,18775,17519,18775,17519,21412,15981,22087,17841
China,53064,76087,37144,54939,37165,54966,52613,75316,52335,75551
Hong Kong,2,6,12,37,12,37,105,166,80,182
Indonesia,7519,11841,5053,7968,6411,10306,2018,3442,1363,2303
Japan,96330,112744,82050,110283,82052,110290,101665,104749,190316,177567
Korea,166276,149464,171837,169067,171860,169100,353049,313180,295751,263607
Singapore,11,74,19,65,19,65,21,104,19,81
Taiwan,61760,85149,95006,104984,95006,104984,111370,127348,108552,114015
Other Pacific Rim,27831,23206,7495,6303,7495,6303,20081,17091,20998,16640
South/Central America,867039,551451,124819,100523,124866,100599,379542,221429,357558,203391
Argentina,10130,12041,12559,18054,12559,18054,20635,21591,13724,16354
Brazil,849767,532598,104772,74952,104772,74952,324711,176068,323646,171730
Chile,38,26,(-),(-),(-),(-),(-),(-),22,25
Colombia,552,492,519,568,523,580,1721,2433,10863,7213
Venezuela,(-),(-),(-),(-),(-),(-),(-),(-),(-),(-)
Other S/C A,6551,6293,6968,6949,7011,7013,32475,21336,9304,8069
Other Countries,231323,216158,187379,176034,194520,183179,249919,225869,216188,192398
India,18387,30874,20196,27581,20251,27645,66821,66195,77723,75808
South Africa,27254,25336,10789,11724,10789,11724,27427,22446,13919,11757
Thailand,26527,25387,36217,31970,43196,38948,33264,28993,26635,21404
Other,159156,134561,120176,104759,120284,104863,122407,108235,97912,83429
,,,,,,,,,,
NOTE:  See the cover report specifically explaining the current month's preliminary steel imports trade data or www.census.gov/foreign-trade/Press-Release/steel_index.html.,,,,,,,,,,
